Time,Sequence #,Data,Best Gateway,RSSI,SNR
2019-09-16 20:31:10,438,d77e070da90100c3022e0d00016b5f2b0004000000032f00,64-7F-DA-FF-FE-00-43-A5,-69,13.5
2019-09-16 19:31:11,437,d77e0100cd022e0d00016cdb2b0005000000032f00,64-7F-DA-FF-FE-00-43-A5,-71,12.8
2019-09-16 18:31:12,436,d77e070dac0100da022d0d00016ed12b0004000000032f00,64-7F-DA-FF-FE-00-43-A5,-69,13.5
2019-09-16 17:31:12,435,d77e0100e9022d0d000170f12b0004000000032f00,64-7F-DA-FF-FE-00-43-A5,-67,12.2
2019-09-16 16:31:13,434,d77e070dae0100eb022d0d000171482b0004000000032f01,64-7F-DA-FF-FE-00-43-A5,-71,13.5
2019-09-16 15:31:14,433,d77e0100e8022e0d000170f52b0005000000042f01,64-7F-DA-FF-FE-00-43-A5,-72,12
2019-09-16 14:31:14,432,d77e070dae0100eb022e0d000171a52b0004000000032f02,64-7F-DA-FF-FE-00-43-A5,-72,13
2019-09-16 13:31:15,431,d77e010112022d0d000177622b0005000000032f09,64-7F-DA-FF-FE-00-43-A5,-72,11.8
2019-09-16 12:31:16,430,d77e070d9101010b022e0d000176c22b0003000000022f09,64-7F-DA-FF-FE-00-43-A5,-68,13
2019-09-16 11:31:16,429,d77e01010802310d0001764b2b0004000000022f09,64-7F-DA-FF-FE-00-43-A5,-71,12.5
2019-09-16 10:31:17,428,d77e070d9401011802320d000178162b0004000000022f09,64-7F-DA-FF-FE-00-43-A5,-68,14
2019-09-16 09:31:18,427,d77e0100fe02360d000173f02b0009000000072f09,64-7F-DA-FF-FE-00-43-A5,-69,12.8
2019-09-16 08:31:19,426,d77e070da70100d0023a0d00016d152b0004000000022f02,72-76-FF-00-2E-05-04-F8,-98,-12
2019-09-16 08:31:18,426,d77e070da70100d0023a0d00016d152b0004000000022f02,64-7F-DA-FF-FE-00-43-A5,-67,11.8
2019-09-16 07:31:19,425,d77e010096023d0d000165112b0005000000042f00,72-76-FF-00-2E-05-04-F8,-107,-6
2019-09-16 07:31:19,425,d77e010096023d0d000165112b0005000000042f00,64-7F-DA-FF-FE-00-43-A5,-69,12.5
2019-09-16 06:31:20,424,d77e070d9d01008b023d0d000163962b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-69,13.5
2019-09-16 05:31:21,423,d77e010088023d0d0001630e2b0003000000022f00,64-7F-DA-FF-FE-00-43-A5,-72,13.2
2019-09-16 04:31:21,422,d77e070da0010085023d0d000162c32b0002000000012f00,64-7F-DA-FF-FE-00-43-A5,-66,11.8
2019-09-16 03:31:21,421,d77e010089023c0d000163472b0002000000012f00,64-7F-DA-FF-FE-00-43-A5,-67,11.2
